order_id,user_id,product,quantity,unit_price,order_date,status
1,83,Keychron K2,2,199,2025-02-14,completed
2,138,Keychron K2,1,149,2025-01-28,shipped
3,55,Apple Magic Mouse,1,49,2024-12-21,completed
4,62,Keychron K2,1,349,2024-12-18,cancelled
5,145,Bose QC45,1,99,2025-02-09,shipped
6,16,Keychron K2,4,29,2024-10-27,shipped
7,35,Anker USB-C Hub,3,199,2024-10-07,completed
8,147,Dell U2723,3,349,2025-02-22,completed
9,149,Anker USB-C Hub,2,149,2024-09-25,pending
10,17,Samsung Odyssey G7,1,499,2024-10-23,pending
11,137,Kindle Oasis,4,149,2024-12-29,completed
12,93,iPad Air,3,99,2024-10-17,cancelled
13,63,Anker USB-C Hub,1,499,2024-11-16,completed
14,88,Logitech MX Master,4,129,2025-02-03,completed
15,132,Dell U2723,4,79,2024-11-27,completed
16,108,Razer Huntsman,1,799,2024-09-20,shipped
17,147,LG Gram 16,3,149,2025-02-25,shipped
18,128,Herman Miller Aeron,4,49,2024-09-24,completed
19,179,Herman Miller Aeron,1,29,2025-02-27,pending
20,148,Ergotron LX,4,129,2024-12-08,pending
21,89,Dell U2723,1,249,2024-11-30,shipped
22,30,Razer Huntsman,4,29,2024-10-26,completed
23,34,Ergotron LX,2,199,2024-12-10,cancelled
24,128,Apple Magic Mouse,1,79,2024-12-24,shipped
25,72,Herman Miller Aeron,2,199,2025-01-19,pending
26,107,Sony WH-1000XM5,3,799,2024-12-07,completed
27,22,Bose QC45,2,79,2024-10-30,completed
28,4,Herman Miller Aeron,4,499,2024-10-17,completed
29,2,LG Gram 16,2,199,2025-01-15,shipped
30,145,Elgato Stream Deck,3,79,2025-02-24,shipped
31,159,Razer Huntsman,1,249,2025-02-22,shipped
32,101,Logitech MX Master,4,199,2024-12-10,completed
33,163,Logitech MX Master,4,29,2024-10-19,completed
34,113,Kindle Oasis,2,49,2024-11-27,completed
35,27,Anker USB-C Hub,1,499,2024-10-09,completed
36,94,Kindle Oasis,1,49,2024-10-24,completed
37,39,LG Gram 16,3,149,2025-02-02,completed
38,32,Samsung Odyssey G7,1,249,2024-12-29,completed
39,80,iPad Air,1,79,2024-09-27,completed
40,190,Dell U2723,3,249,2025-02-25,shipped
41,6,Dell U2723,2,349,2024-12-02,pending
42,140,Bose QC45,1,349,2024-11-16,cancelled
43,24,Ergotron LX,3,349,2024-12-03,completed
44,92,Razer Huntsman,2,349,2025-01-17,shipped
45,85,Razer Huntsman,2,499,2024-10-20,completed
46,103,Samsung Odyssey G7,2,99,2025-01-11,completed
47,188,Samsung Odyssey G7,1,29,2024-11-11,completed
48,50,LG Gram 16,3,249,2024-11-29,completed
49,57,Sony WH-1000XM5,1,99,2024-12-30,completed
50,53,Elgato Stream Deck,4,499,2025-02-04,completed
51,123,Elgato Stream Deck,3,799,2024-09-22,pending
52,31,Samsung Odyssey G7,4,1299,2024-10-22,completed
53,112,Samsung Odyssey G7,3,49,2024-12-11,completed
54,191,Dell U2723,1,1299,2024-10-11,completed
55,8,Razer Huntsman,2,499,2024-12-29,pending
56,38,Dell U2723,4,799,2024-11-29,shipped
57,141,Razer Huntsman,2,29,2024-09-04,pending
58,167,Apple Magic Mouse,1,349,2024-10-06,cancelled
59,50,Sony WH-1000XM5,2,29,2024-11-04,completed
60,129,Herman Miller Aeron,2,499,2024-11-23,shipped
61,108,Ergotron LX,2,29,2024-11-30,completed
62,170,Anker USB-C Hub,4,349,2024-10-04,completed
63,135,Kindle Oasis,1,249,2024-10-17,completed
64,199,Samsung Odyssey G7,2,79,2024-10-07,shipped
65,186,LG Gram 16,1,349,2024-09-16,pending
66,133,Keychron K2,4,49,2025-01-22,completed
67,49,Anker USB-C Hub,3,29,2024-09-26,completed
68,144,LG Gram 16,1,49,2024-12-23,shipped
69,130,Samsung Odyssey G7,2,1299,2024-11-10,shipped
70,137,iPad Air,4,349,2024-11-03,shipped
71,67,Apple Magic Mouse,2,249,2024-10-06,completed
72,101,Bose QC45,4,149,2024-09-19,completed
73,110,Herman Miller Aeron,1,99,2025-02-19,cancelled
